"variable","category","count","percentage"
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time",4,1.64
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",4,1.64
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4,1.64
"challenge_wellness_routine","Don't know where and how to start, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Lack of motivation / time",22,9.02
"challenge_wellness_routine","Don't know where and how to start, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Unavailability of a good gym/classes nearby, Lack of motivation / time",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't afford to spend on gym/classes subscription, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Don't know where and how to start, Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Lack of motivation / time",1,0.41
"challenge_wellness_routine","I follow a regular wellness/fitness routine",31,12.7
"challenge_wellness_routine","Lack of motivation / time",33,13.52
"challenge_wellness_routine","Lack of motivation / time, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Lack of time is all",1,0.41
"challenge_wellness_routine","Maintaining a proper diet",1,0.41
"challenge_wellness_routine","Unavailability of a good gym/classes nearby",2,0.82
"challenge_wellness_routine","Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Unavailability of a good gym/classes nearby, Lack of motivation / time",5,2.05
"challenge_wellness_routine","Walking an hour",1,0.41
"challenge_wellness_routine","Want a personal trainer but can't afford",4,1.64
